"strain" "sex" "litter" "age" "tag" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"1" "C57BL6/J" "Female" "c1A" 43 "mouseID" 112 41 31 10 41
"2" "C57BL6/J" "Female" "c1A" 43 "mouseID" 88 34 35 3 48
"3" "C57BL6/J" "Male" "c1A" 43 "mouseID" 91 27 16 5 47
"4" "C57BL6/J" "Male" "c2nd" 43 "mouseID" 75 14 31 3 104
"5" "C57BL6/J" "Male" "c2nd" 43 "mouseID" 121 33 47 7 135
"6" "C57BL6/J" "Female" "c3rd" 71 "mouseID" 176 47 28 13 75
"7" "C57BL6/J" "Male" "c3rd" 71 "mouseID" 67 22 13 3 58
"8" "C57BL6/J" "Female" "c4th" 32 "mouseID" 163 63 67 7 54
"9" "C57BL6/J" "Female" "c4th" 32 "mouseID" 74 18 30 16 69
"10" "C57BL6/J" "Male" "c4th" 32 "mouseID" 100 19 51 9 89
"11" "C57BL6/J" "Male" "c4th" 32 "mouseID" 38 8 29 15 57
"12" "C57BL6/J" "Female" "c5th" 20 "mouseID" 121 45 133 16 147
"13" "C57BL6/J" "Female" "c5th" 20 "mouseID" 91 9 71 20 16
"14" "C57BL6/J" "Male" "c5th" 20 "mouseID" 62 1 46 3 48
"15" "C57BL6/J" "Male" "c5th" 20 "mouseID" 41 4 78 1 77
"16" "C57BL6/J" "Female" "c6th" 24 "mouseID" 64 5 38 2 51
"17" "C57BL6/J" "Male" "c6th" 24 "mouseID" 74 7 68 1 105
"18" "C57BL6/J" "Male" "c6th" 24 "mouseID" 42 18 40 13 37
"19" "C57BL6/J" "Male" "c6th" 24 "mouseID" 62 5 38 1 81
"20" "C57BL6/J" "Female" "c7th" 71 "mouseID" 112 25 30 7 28
"21" "C57BL6/J" "Female" "c7th" 71 "mouseID" 51 19 9 3 25
"22" "C57BL6/J" "Male" "c7th" 71 "mouseID" 153 34 28 14 79
"23" "C57BL6/J" "Male" "c7th" 71 "mouseID" 117 39 60 23 131
"24" "C57BL6/J" "Female" "c8th" 43 "mouseID" 97 0 18 9 49
"25" "C57BL6/J" "Female" "c8th" 43 "mouseID" 66 24 67 19 66
